MatchID,TEAMID,COUNTRY,SEASON,MATCHDATE,TEAMID,TEAMAVG,TEAMMAX,TEAMMIN
1097,1,1, u'2012/2013', u'2012-12-15 00:00:00',9994,27,34,20
1097,1,1, u'2012/2013', u'2012-12-15 00:00:00',9991,25,30,19
1098,1,1, u'2012/2013', u'2012-12-15 00:00:00',8203,26,30,21
1098,1,1, u'2012/2013', u'2012-12-15 00:00:00',9985,24,29,19
1099,1,1, u'2012/2013', u'2012-12-15 00:00:00',9989,24,29,19
1099,1,1, u'2012/2013', u'2012-12-15 00:00:00',9984,26,34,19
1100,1,1, u'2012/2013', u'2012-12-15 00:00:00',8475,27,34,20
1100,1,1, u'2012/2013', u'2012-12-15 00:00:00',8571,26,30,21
1101,1,1, u'2012/2013', u'2012-12-23 00:00:00',9985,24,29,19
1101,1,1, u'2012/2013', u'2012-12-23 00:00:00',8342,27,34,18
1102,1,1, u'2012/2013', u'2012-12-23 00:00:00',9987,26,31,21
1102,1,1, u'2012/2013', u'2012-12-23 00:00:00',8635,26,31,19
1103,1,1, u'2012/2013', u'2012-12-22 00:00:00',9991,25,30,19
1103,1,1, u'2012/2013', u'2012-12-22 00:00:00',9986,25,28,21
1104,1,1, u'2012/2013', u'2012-12-22 00:00:00',9993,26,31,19
1104,1,1, u'2012/2013', u'2012-12-22 00:00:00',8203,27,33,21
1105,1,1, u'2012/2013', u'2012-12-22 00:00:00',1773,26,32,21
1105,1,1, u'2012/2013', u'2012-12-22 00:00:00',9989,24,29,19
1106,1,1, u'2012/2013', u'2012-12-21 00:00:00',8571,26,30,21
1106,1,1, u'2012/2013', u'2012-12-21 00:00:00',9994,27,33,20
1107,1,1, u'2012/2013', u'2012-12-22 00:00:00',9998,28,36,21
1107,1,1, u'2012/2013', u'2012-12-22 00:00:00',10000,25,32,18
1108,1,1, u'2012/2013', u'2012-12-22 00:00:00',9984,28,34,20
1108,1,1, u'2012/2013', u'2012-12-22 00:00:00',8475,27,34,20
1109,1,1, u'2012/2013', u'2012-12-26 00:00:00',8342,26,34,20
1109,1,1, u'2012/2013', u'2012-12-26 00:00:00',8571,26,31,20
1110,1,1, u'2012/2013', u'2012-12-27 00:00:00',8635,27,32,19
1110,1,1, u'2012/2013', u'2012-12-27 00:00:00',9989,25,29,19
1111,1,1, u'2012/2013', u'2012-12-27 00:00:00',9985,23,29,19
1111,1,1, u'2012/2013', u'2012-12-27 00:00:00',9993,27,31,21
1112,1,1, u'2012/2013', u'2012-12-26 00:00:00',9986,25,28,21
1112,1,1, u'2012/2013', u'2012-12-26 00:00:00',9998,28,36,21
1113,1,1, u'2012/2013', u'2012-12-26 00:00:00',10000,25,32,18
1113,1,1, u'2012/2013', u'2012-12-26 00:00:00',1773,27,32,21
1114,1,1, u'2012/2013', u'2012-12-26 00:00:00',9994,29,34,21
1114,1,1, u'2012/2013', u'2012-12-26 00:00:00',9984,28,34,20
1115,1,1, u'2012/2013', u'2012-12-26 00:00:00',8203,27,33,21
1115,1,1, u'2012/2013', u'2012-12-26 00:00:00',9991,25,30,19
1116,1,1, u'2012/2013', u'2012-12-26 00:00:00',8475,27,34,20
1116,1,1, u'2012/2013', u'2012-12-26 00:00:00',9987,26,31,21
1117,1,1, u'2012/2013', u'2013-02-27 00:00:00',8635,26,32,18
1117,1,1, u'2012/2013', u'2013-02-27 00:00:00',10000,26,32,19
1118,1,1, u'2012/2013', u'2013-01-19 00:00:00',9987,27,31,21
1118,1,1, u'2012/2013', u'2013-01-19 00:00:00',9986,25,29,21
1119,1,1, u'2012/2013', u'2013-01-19 00:00:00',9991,26,30,21
1119,1,1, u'2012/2013', u'2013-01-19 00:00:00',9985,25,29,19
1120,1,1, u'2012/2013', u'2013-01-19 00:00:00',1773,27,32,22
1120,1,1, u'2012/2013', u'2013-01-19 00:00:00',9994,27,34,20
1121,1,1, u'2012/2013', u'2013-01-19 00:00:00',8571,26,31,21
1121,1,1, u'2012/2013', u'2013-01-19 00:00:00',9993,26,31,19
1122,1,1, u'2012/2013', u'2013-01-19 00:00:00',9989,26,32,20
1122,1,1, u'2012/2013', u'2013-01-19 00:00:00',8475,27,34,20
1123,1,1, u'2012/2013', u'2013-01-19 00:00:00',9998,28,36,21
1123,1,1, u'2012/2013', u'2013-01-19 00:00:00',8203,26,33,21
1124,1,1, u'2012/2013', u'2013-02-28 00:00:00',9984,26,34,20
1124,1,1, u'2012/2013', u'2013-02-28 00:00:00',8342,26,34,20
1125,1,1, u'2012/2013', u'2013-01-27 00:00:00',8342,27,34,20
1125,1,1, u'2012/2013', u'2013-01-27 00:00:00',9991,25,30,19
1126,1,1, u'2012/2013', u'2013-01-25 00:00:00',9985,24,29,19
1126,1,1, u'2012/2013', u'2013-01-25 00:00:00',8571,26,31,21
1127,1,1, u'2012/2013', u'2013-01-26 00:00:00',9993,25,31,19
1127,1,1, u'2012/2013', u'2013-01-26 00:00:00',9998,28,31,21
1128,1,1, u'2012/2013', u'2013-02-20 00:00:00',9986,25,29,21
1128,1,1, u'2012/2013', u'2013-02-20 00:00:00',9984,26,34,22
1129,1,1, u'2012/2013', u'2013-01-26 00:00:00',10000,25,32,18
1129,1,1, u'2012/2013', u'2013-01-26 00:00:00',9989,25,32,19
1130,1,1, u'2012/2013', u'2013-01-26 00:00:00',9994,27,34,20
1130,1,1, u'2012/2013', u'2013-01-26 00:00:00',8635,26,31,18
1131,1,1, u'2012/2013', u'2013-01-26 00:00:00',8203,26,33,21
1131,1,1, u'2012/2013', u'2013-01-26 00:00:00',9987,26,31,21
1132,1,1, u'2012/2013', u'2013-01-26 00:00:00',8475,28,34,20
1132,1,1, u'2012/2013', u'2013-01-26 00:00:00',1773,26,32,21
1133,1,1, u'2012/2013', u'2013-02-03 00:00:00',8635,26,31,18
1133,1,1, u'2012/2013', u'2013-02-03 00:00:00',9985,24,29,19
1134,1,1, u'2012/2013', u'2013-02-03 00:00:00',9987,26,31,21
1134,1,1, u'2012/2013', u'2013-02-03 00:00:00',8342,26,34,20
1135,1,1, u'2012/2013', u'2013-02-02 00:00:00',9991,26,30,21
1135,1,1, u'2012/2013', u'2013-02-02 00:00:00',9993,25,31,19
1136,1,1, u'2012/2013', u'2013-02-02 00:00:00',1773,27,31,22
1136,1,1, u'2012/2013', u'2013-02-02 00:00:00',9986,25,29,21
1137,1,1, u'2012/2013', u'2013-02-02 00:00:00',8571,26,31,21
1137,1,1, u'2012/2013', u'2013-02-02 00:00:00',8203,26,33,22
1138,1,1, u'2012/2013', u'2013-02-02 00:00:00',9989,25,32,19
1138,1,1, u'2012/2013', u'2013-02-02 00:00:00',9994,26,33,19
1139,1,1, u'2012/2013', u'2013-02-02 00:00:00',9998,28,31,21
1139,1,1, u'2012/2013', u'2013-02-02 00:00:00',8475,27,34,20
1140,1,1, u'2012/2013', u'2013-02-02 00:00:00',9984,27,34,20
1140,1,1, u'2012/2013', u'2013-02-02 00:00:00',10000,26,32,19
1141,1,1, u'2012/2013', u'2013-02-09 00:00:00',8342,26,34,20
1141,1,1, u'2012/2013', u'2013-02-09 00:00:00',1773,27,32,22
1142,1,1, u'2012/2013', u'2013-02-10 00:00:00',9985,24,29,19
1142,1,1, u'2012/2013', u'2013-02-10 00:00:00',9998,28,31,19
1143,1,1, u'2012/2013', u'2013-02-09 00:00:00',9993,24,31,19
1143,1,1, u'2012/2013', u'2013-02-09 00:00:00',9987,26,31,21
1144,1,1, u'2012/2013', u'2013-02-09 00:00:00',9986,26,29,22
1144,1,1, u'2012/2013', u'2013-02-09 00:00:00',9989,25,32,19
1145,1,1, u'2012/2013', u'2013-02-09 00:00:00',9994,27,33,20
1145,1,1, u'2012/2013', u'2013-02-09 00:00:00',10000,26,32,18
1146,1,1, u'2012/2013', u'2013-02-09 00:00:00',8571,26,31,21
1146,1,1, u'2012/2013', u'2013-02-09 00:00:00',9991,26,30,21
1147,1,1, u'2012/2013', u'2013-02-09 00:00:00',8203,27,33,21
1147,1,1, u'2012/2013', u'2013-02-09 00:00:00',9984,28,34,22
1148,1,1, u'2012/2013', u'2013-02-10 00:00:00',8475,27,34,20
1148,1,1, u'2012/2013', u'2013-02-10 00:00:00',8635,26,32,19
1149,1,1, u'2012/2013', u'2013-02-15 00:00:00',8635,25,32,18
1149,1,1, u'2012/2013', u'2013-02-15 00:00:00',9986,26,29,21
1150,1,1, u'2012/2013', u'2013-02-17 00:00:00',9987,26,32,21
1150,1,1, u'2012/2013', u'2013-02-17 00:00:00',8571,26,31,21
1151,1,1, u'2012/2013', u'2013-02-16 00:00:00',10000,25,32,18
1151,1,1, u'2012/2013', u'2013-02-16 00:00:00',8475,27,34,20
1152,1,1, u'2012/2013', u'2013-02-16 00:00:00',1773,26,31,22
1152,1,1, u'2012/2013', u'2013-02-16 00:00:00',9993,24,31,19
1153,1,1, u'2012/2013', u'2013-02-17 00:00:00',9994,27,33,20
1153,1,1, u'2012/2013', u'2013-02-17 00:00:00',8342,27,34,20
1154,1,1, u'2012/2013', u'2013-02-16 00:00:00',9989,24,28,19
1154,1,1, u'2012/2013', u'2013-02-16 00:00:00',8203,27,33,22
1155,1,1, u'2012/2013', u'2013-02-16 00:00:00',9998,28,31,21
1155,1,1, u'2012/2013', u'2013-02-16 00:00:00',9991,26,34,21
1156,1,1, u'2012/2013', u'2013-02-16 00:00:00',9984,26,34,20
1156,1,1, u'2012/2013', u'2013-02-16 00:00:00',9985,23,29,19
1157,1,1, u'2012/2013', u'2013-02-24 00:00:00',8342,26,34,20
1157,1,1, u'2012/2013', u'2013-02-24 00:00:00',8635,25,32,18
